Année,Numéro,Titre,Page(s),Auteur(s),Ville(s),Theme(s),Epoque
1994,Mémoire n°06,Vie quotidienne : la buille chez nos grans-mères  Résumé,44,Germaine Billon,Saint Pierre de Mésage,Vie locale,
1994,Mémoire n°06,Vins futés des grands-mères  Résumé,45,Germaine Billon,Notre Dame de Mésage,Cuisine et recettes,
1994,Mémoire n°06,Bibliographie et sources  Résumé,46 à 48,Pierre Melquiond,Pays vizillois,Documents remarquables,
1994,Mémoire n°06 bis,Libération du pays vizillois - 22 aout 1944 (n° spécial)  Résumé,01 à 142,"Robert Aillaud ,  Gérard Mingat",Pays vizillois,"Guerres ,  Grandes périodes",
1994,Mémoire n°07,II - La vie en 1793 à Champ sur Drac sous la révolution Résumé,08 à 12,Gilbert Gacon,Champ sur Drac,Grandes périodes,
1994,Mémoire n°07,Guigues II : neuvième prieur des Chartreux  Résumé,13 à 17,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices ,  Religions ,  Personnages remarquables",
1994,Mémoire n°07,Un peu de toponymie  Résumé,18,André Frances,Vizille,"Patois ,  Toponymie",
1994,Mémoire n°07,Visite de l'évêque de Grenoble : 1672 à Séchilienne  Résumé,19 à 21,Bernard Mingone,Séchilienne,"Bâtiments et édifices ,  Religions",
1994,Mémoire n°07,Les vins futés de nos grands-mères  Résumé,22,Germaine Billon,Saint Pierre de Mésage,Cuisine et recettes,
1994,Mémoire n°07,Souvenirs autour de St Firmin  Résumé,22,Aline Pignat,Notre Dame de Mésage,"Bâtiments et édifices ,  Religions",
1994,Mémoire n°07,Adolphe Delleda : coureur cycliste  Résumé,23 à 30,Jean Guitton,Vizille,Sport,
1994,Mémoire n°07,Docteur Billerey à Brié  Résumé,31 à 36,Pierre Melquiond,Brié et Angonnes,"Personnages remarquables ,  Médecine",
1994,Mémoire n°07,22 aout 1944 : le film oublié  Résumé,38 à 40,Robert Aillaud,Vizille,"Guerres ,  Grandes périodes",
1994,Mémoire n°07,Le moulin neuf de Tavernolles  Résumé,41 à 43,Richard Dupuy,Brié et Angonnes,"Vie locale ,  Activités agricoles",
1994,Mémoire n°07,Métiers ambulants  Résumé,44 à 45,Germaine Billon,Pays vizillois,Vie locale,
1994,Mémoire n°07,Bibliographie et sources : le Prieuré de Vizille  Résumé,46 à 47,Pierre Melquiond,Vizille,"Bâtiments et édifices ,  Religions",
1994,Mémoire n°07,Il était une fois à Jarrie : les travaux des champs  Résumé,05 à 07,Jeanette Cheveu D'or,Jarrie,Vie locale,
1995,Mémoire n°08,Facheux XXe siècle : St Michel de Connexe  Résumé,2,Robert Aillaud,"Champ sur Drac ,  Séchilienne",Actualités,
1995,Mémoire n°08,La vallée de la Romanche  Résumé,03 à 11,Paul Wohlschlegel,Pays vizillois,"Eau, rivières, canaux et fontaines",
1995,Mémoire n°08,Un instrument insolite  Résumé,12,Marguerite Vianney-Liaud,Herbeys,Vie locale,
1995,Mémoire n°08,15 mars 1777 : testament de l'abbé de Beauregard  Résumé,13 à 17,Pierre Coing Boyat,Jarrie,"Religions ,  Personnages remarquables",
1995,Mémoire n°08,Tournerie de Vaulnaveys le haut  Résumé,18,Josiane Morel,Vaulnaveys,Activités artisanales,
1995,Mémoire n°08,La pierre cerise  Résumé,19,"André Falco ,  Edith Falco",Saint Pierre de Mésage,,
1995,Mémoire n°08,"Une belle trouvaille, un bon réflexe  Résumé",19,Robert Aillaud,Jarrie,Archéologie,
1995,Mémoire n°08,St Barthélémy : église raconte moi ton histoire  Résumé,20 à 26,Michel Vial,Saint Barthélémy de Séchilienne,"Bâtiments et édifices ,  Religions",
1995,Mémoire n°08,Il était une fois Jarrie : les plaisirs de neige  Résumé,27 à 29,Jeanette Cheveu D'or,Jarrie,"Vie locale ,  Sport",
1995,Mémoire n°08,Le rideau de scène de la cité Navarre  Résumé,32 à 33,Sylvie Vincent,Champ sur Drac,,
1995,Mémoire n°08,Un contrat d'apprentissage : 1895 à Brié  Résumé,34 à 35,Pierre Melquiond,Brié et Angonnes,Documents remarquables,
1995,Mémoire n°08,Traditions et coutumes dans la région  Résumé,36 à 37,Germaine Billon,Saint Pierre de Mésage,Vie locale,
1995,Mémoire n°08,Construction d'un pont Tarron par le génie  Résumé,38,Robert Aillaud,Vizille,Voies de communication,
1995,Mémoire n°08,"Renards d'aujourd'hui, loups d'autrefois  Résumé",39,Aline Pignat,Séchilienne,"Vie locale ,  Histoires",
1995,Mémoire n°08,La croix de Chamrousse  Résumé,40 à 43,Raymond Joffre,Chamrousse,"Tourisme ,  Lieux remarquables",
1995,Mémoire n°08,Bibliographie et sources  Résumé,44 à 48,Pierre Melquiond,Brié et Angonnes,Documents remarquables,
1995,Mémoire n°09,Au revoir père Meyer  Résumé,4,Jeanette Cheveu D'or,Champ sur Drac,Actualités,
1995,Mémoire n°09,Attention : un malentendu peut en cacher un autre  Résumé,5,Louis Bourdat,Vizille,Vie locale,
1995,Mémoire n°09,Une soirée inoubliable  Résumé,06 à 07,Aline Pignat,Notre Dame de Mésage,Vie locale,
1995,Mémoire n°09,La St Barnard (et chanson)  Résumé,08 à 09,Aline Pignat,Notre Dame de Mésage,Vie locale,
1995,Mémoire n°09,Vie religieuse à Vaulnaveys  Résumé,10 à 14,Marguerite Vianney-Liaud,Vaulnaveys le haut,"Bâtiments et édifices ,  Religions",
1995,Mémoire n°09,I - Les aventures de Charvet - Citoyen vizillois  Résumé,15 à 32,Gérard Mingat,Vizille,"Grandes périodes ,  Personnages remarquables",
1995,Mémoire n°09,Conventions rapport  Résumé,33 à 36,Adrienne Celso,Bresson,"Vie locale ,  Documents remarquables",
1995,Mémoire n°09,Cure et littérature à Uriage  Résumé,37 à 39,Pierre Bourdat,Uriage,Vie locale,
1995,Mémoire n°09,La bataille de St Barthélémy de Séchilienne  Résumé,40 à 41,Bernard Mingone,Saint Barthélémy de Séchilienne,"Religions ,  Guerres",
1995,Mémoire n°09,Les sapeurs pompiers St Georgeois  Résumé,42 à 43,Fernand Boeuf,Saint Georges de Commiers,Vie locale,
1995,Mémoire n°09,Chantier archéologique de Varces  Résumé,44 à 47,Eric Plassot,Varces,Archéologie,
1996,Mémoire n°10,Naissance d'un blason  Résumé,04 à 06,Gilbert Vanel,Vaulnaveys le bas,"Généalogie ,  Héraldique",
1996,Mémoire n°10,II - Les aventures de Charvet  Résumé,07 à 15,Gérard Mingat,Vizille,"Grandes périodes ,  Personnages remarquables",
1996,Mémoire n°10,Paysages du canton de Vizille  Résumé,16 à 17,Paul Wohlschlegel,Pays vizillois,Vie locale,
1996,Mémoire n°10,Vizille 1711 : un contrat d'apprentissage  Résumé,16 à 17,Pierre Melquiond,Vizille,Documents remarquables,
1996,Mémoire n°10,Chateau d'Herbeys  Résumé,18 à 25,Marguerite Vianney-Liaud,Herbeys,Bâtiments et édifices,
1996,Mémoire n°10,Enfant à Vizille dans les années 30  Résumé,26 à 28,Jean Perrin,Vizille,Vie locale,
1996,Mémoire n°10,Religion réformée - Brié en 1727  Résumé,29,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices ,  Religions",
1996,Mémoire n°10,St Pierre de Mésage - son église  Résumé,30 à 36,Michel Vial,Saint Pierre de Mésage,"Bâtiments et édifices ,  Religions",
1996,Mémoire n°10,Que ferons-nous de nos églises ?  Résumé,37 à 39,Claire Marconnet,Pays vizillois,"Bâtiments et édifices ,  Religions",
1996,Mémoire n°10,Familles nobles du M.A. à Brié  Résumé,40 à 43,Pierre Melquiond,Brié et Angonnes,"Généalogie ,  Héraldique",
1996,Mémoire n°10,Un intérieur paysan en 1710 et 1880  Résumé,44 à 45,Pierre Melquiond,"Brié et Angonnes ,  Saint Pierre de Mésage",Documents remarquables,
1996,Mémoire n°10,"Le ""port"" de Gavet  Résumé",45,Yves Marcel,Livet et Gavet,"Voies de communication ,  Eau, rivières, canaux et fontaines",
1996,Mémoire n°10,Comment fut fixé le prix du pain à Vizille en 1615 Résumé,46 à 47,Pierre Coing Boyat,Vizille,"Vie locale ,  Documents remarquables",
1996,Mémoire n°10,Le village nègre  Résumé,48,Gabriel Perrin,Vizille,Vie locale,
1996,Mémoire n°11,Le raffour de la montagne du Péage  Résumé,2,"André Falco ,  Edith Falco",Vizille,"Mines et minéralogie ,  Activités industrielles",
1996,Mémoire n°11,Balade automnale d'un enfant vers 1930  Résumé,3,Aline Pignat,Notre Dame de Mésage,"Vie locale ,  Patois ,  Toponymie",
1996,Mémoire n°11,Lo Toëne de Monchaffrey  Résumé,04 à 06,Raymond Joffre,Vaulnaveys le bas,"Patois ,  Toponymie",
1996,Mémoire n°11,III - Les aventures de Charvet  Résumé,07 à 14,Gérard Mingat,Vizille,"Grandes périodes ,  Personnages remarquables",
1996,Mémoire n°11,L'histoire du Mont-Larron  Résumé,15,Paul Courteaud,Vaulnaveys le bas,"Vie locale ,  Patois ,  Toponymie",
1996,Mémoire n°11,Missionnaire de la Salette : le révérend Père Archier  Résumé,16 à 17,Germaine Billon,Saint Pierre de Mésage,"Religions ,  Personnages remarquables",
1996,Mémoire n°11,Archéologie : la plaine du Lavanchon  Résumé,18 à 23,Eric Plassot,Saint Paul de Varces,Archéologie,
1996,Mémoire n°11,Le musée historique de la vallée de la Romanche  Résumé,24 à 25,Caroline Curnier,Livet et Gavet,Actualités,
1996,Mémoire n°11,En 1782 : les vaches de Brié étaient-elles folles ?  Résumé,26 à 28,Pierre Melquiond,Brié et Angonnes,"Vie locale ,  Histoires",
1996,Mémoire n°11,Quand Jean-Jacques Rousseau cherchait une maison  Résumé,29 à 33,Pierre Melquiond,Brié et Angonnes,Personnages remarquables,
1996,Mémoire n°11,Souvenir des usines Keller  Résumé,34 à 39,"André Clergeot ,  Yvette Emieux",Livet et Gavet,Activités industrielles,
1996,Mémoire n°11,Il était une fois Jarrie : les commerces  Résumé,40 à 41,Jeanette Cheveu D'or,Jarrie,Vie locale,
1996,Mémoire n°11,Retour à l'école des cadres d'Uriage  Résumé,42 à 45,Pierre Bourdat,Uriage,Enseignement,
1996,Mémoire n°11,Soirée Rigodon à Pellafol 10 aout 1996  Résumé,46,Germaine Billon,Pellafol,Actualités,
1996,Mémoire n°11,Pique-nique avec les amis de la vallée de la Gresse  Résumé,47,Germaine Billon,Monestier de Clermont,Actualités,
1996,Mémoire n°11,Les deux mulets (poème)  Résumé,48,"Gérard Mingat ,  Michel Vial",Vaulnaveys le bas,"Patois ,  Toponymie ,  Histoires",
1997,Mémoire n°12,I - Les registres paroissiaux de Brié  Résumé,04 à 10,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices ,  Religions ,  Documents remarquables",
1997,Mémoire n°12,IV - Les aventures de Charvet  Résumé,11 à 17,Gérard Mingat,Vizille,"Grandes périodes ,  Personnages remarquables",
1997,Mémoire n°12,Le plâtre d'Herbeys  Résumé,18 à 19,Marguerite Vianney-Liaud,Herbeys,"Patois ,  Toponymie",
1997,Mémoire n°12,Un aspect de la vie des campagnes - St Barthélémy de Séchilienne Résumé,20 à 25,Bernard Mingone,Saint Barthélémy de Séchilienne,Vie locale,
1997,Mémoire n°12,18 février 1944  Résumé,26 à 28,Jean Perrin,Vizille,"Guerres ,  Grandes périodes",
1997,Mémoire n°12,Vizille fait divers : 18 février 1944  Résumé,29 à 32,Louis Girard-Reydet,Vizille,"Guerres ,  Grandes périodes",
1997,Mémoire n°12,Les scouts de Vizille  Résumé,33 à 34,Jean Fagno,Vizille,Vie locale,
1997,Mémoire n°12,Moulin syndical de Vaulnaveys le haut  Résumé,35 à 39,Anne Cayol Gerin,Vaulnaveys le haut,Activités agricoles,
1997,Mémoire n°12,La chartreuse de Prémol  Résumé,40 à 41,Marguerite Vianney-Liaud,Vaulnaveys le haut,"Bâtiments et édifices ,  Religions",
1997,Mémoire n°12,Dramatiques évènements aux Angonnes  Résumé,42 à 43,Pierre Melquiond,Brié et Angonnes,Evènements,
1997,Mémoire n°12,Toponymie et origine des noms des communes  Résumé,44 à 45,Pierre Melquiond,Pays vizillois,"Patois ,  Toponymie",
1997,Mémoire n°12,Bibliographie et sources  Résumé,46 à 47,Pierre Melquiond,Pays vizillois,Documents remarquables,
1997,Mémoire n°13,"""L'aigle a deux têtes"" vu par Raymond Voinquel  Résumé",03 à 05,Alain Chevalier,Vizille,"Vie locale ,  Bâtiments et édifices",
1997,Mémoire n°13,II - Les registres paroissiaux de Brié  Résumé,06 à 17,Pierre Melquiond,Brié et Angonnes,"Vie locale ,  Documents remarquables",
1997,Mémoire n°13,Défense et illustration du patrimoine  Résumé,18,Pierre Melquiond,Brié et Angonnes,",  Bâtiments et édifices ,  Religions",
1997,Mémoire n°13,Il revient : retour de Napoléon  Résumé,19 à 23,Pierre Melquiond,Brié et Angonnes,Evènements,
1997,Mémoire n°13,Un projet de monument commémoratif du passage de Napoléon  Résumé,23 à 25,Roger Morard,Laffrey,Evènements,
1997,Mémoire n°13,Les conscrits (St Pierre et Notre Dame)  Résumé,26 à 27,"Germaine Billon ,  Aline Pignat","Notre Dame de Mésage ,  Saint Pierre de Mésage",Vie locale,
1997,Mémoire n°13,"Le battage, du fléau à la batteuse  Résumé",28 à 30,Germaine Billon,Saint Pierre de Mésage,Vie locale,
1997,Mémoire n°13,"Une coutume religieuse : ""le pain bénit""  Résumé",31 à 32,Gilbert Gacon,Champ sur Drac,Religions,
1997,Mémoire n°13,V - Les aventures de Charvet : 1814-1816  Résumé,33 à 47,Gérard Mingat,Vizille,"Grandes périodes ,  Personnages remarquables",
1997,Mémoire n°13,Journées du patrimoine 21 septembre 1997  Résumé,48,Germaine Billon,Grenoble,Actualités,
1998,Mémoire n°14,La croix du Mottet  Résumé,04 à 07,Michel Vial,Séchilienne,"Bâtiments et édifices ,  Religions",
1998,Mémoire n°14,A propos de cloche  Résumé,8,Suzanne Ehrhard,Brié et Angonnes,"Patois ,  Toponymie",
1998,Mémoire n°14,Un curé de choc à St Martin de la Cluze  Résumé,09 à 11,Pierre Coing Boyat,Saint Martin de la Cluze,Religions,
1998,Mémoire n°14,III - Les registres paroissiaux de Brié (fin)  Résumé,12 à 18,Pierre Melquiond,Brié et Angonnes,"Vie locale ,  Documents remarquables",
1998,Mémoire n°14,Quand les vizillois chantaient  Résumé,19,Robert Aillaud,Vizille,"Vie locale ,  Documents remarquables",
1998,Mémoire n°14,VI - Les aventures de Charvet  Résumé,20 à 28,Gérard Mingat,Vizille,"Grandes périodes ,  Personnages remarquables",
1998,Mémoire n°14,Les débuts du tourisme dans notre région  Résumé,29,Marie-Thérèse Emery,Pays vizillois,"Vie locale ,  Documents remarquables",
1998,Mémoire n°14,Un mariage compromis à Jarrie  Résumé,30 à 33,Pierre Coing Boyat,Jarrie,Vie locale,
1998,Mémoire n°14,Avis de recherche  Résumé,34,Robert Aillaud,Vizille,Enseignement,
1998,Mémoire n°14,Un trépas très suivi  Résumé,34,Bernard Mingone,Vaulnaveys le haut,Vie locale,
1998,Mémoire n°14,Chamrousse : station olympique de Duhamel à Killy  Résumé,35 à 38,Bernadette Belmont,Chamrousse,"Tourisme ,  Lieux remarquables ,  Sport",
1998,Mémoire n°14,Le monologue de Janin  Résumé,39,Jean Millet,Pays vizillois,"Patois ,  Toponymie",
1998,Mémoire n°14,Histoire d'un site industriel  Résumé,40 à 41,Alain Emery,Jarrie,Activités industrielles,
1998,Mémoire n°14,Vogues avec violence  Résumé,42 à 43,Daniel Templier,Cholonge,Vie locale,
1998,Mémoire n°14,Le dore  Résumé,44,Georges Mancat,La Morte,Personnages remarquables,
1998,Mémoire n°14,Traditions et coutumes de Vizille  Résumé,45 à 46,Claude Muller,Vizille,Vie locale,
