Année,Numéro,Titre,Page(s),Auteur(s),Ville(s),Theme(s),Epoque
1992,Mémoire n°02,Recettes dauphinoises,24,Adrienne Celso ,Jarrie ,Cuisine et recettes ,- 
1992,Mémoire n°02,Lou rena et lou courba,25 à 26,Valérie Robert-Michon ,Pays vizillois ,"Patois ,  Toponymie ,  Histoires ",- 
1992,Mémoire n°02,Vizille en feu,27 à 31,Bernard Mingone ,Vizille ,Evènements ,- 
1992,Mémoire n°02,Evolution de l'art religieux : St Hippolyte des Angonnes,32 à 36,Paul Wohlschlegel ,Brié et Angonnes ,"Bâtiments et édifices ,  Religions ",- 
1992,Mémoire n°02,Louis XIII et Richelieu à Jarrie,37 à 40,Adrienne Celso ,Jarrie ,Personnages remarquables ,- 
1992,Mémoire n°02,Manière de se soigner autrefois,41 à 42,Marguerite Vianney-Liaud ,Herbeys ,Médecine ,- 
1992,Mémoire n°02,Bibliographie et sources,44,Pierre Melquiond ,Pays vizillois ,Documents remarquables ,- 
1992,Mémoire n°03,La romance des bruleurs de loups,4,Paul Berret ,Pays vizillois ,"Contes et légendes ,  Histoires ",- 
1992,Mémoire n°03,Stendhal en pays vizillois,05 à 07,Pierre Melquiond ,Pays vizillois ,"Vie locale ,  Personnages remarquables ",- 
1992,Mémoire n°03,Le train dans le canton de Vizille,08 à 14,Yvette Virot ,Jarrie ,Voies de communication ,- 
1992,Mémoire n°03,"Peillaud, le guide de l'Ile Falcon",15,Raymond Joffre ,Saint Barthélémy de Séchilienne ,"Tourisme ,  Lieux remarquables ,  Personnages remarquables ",- 
1992,Mémoire n°03,Saint François Régis (chapelle),16 à 17,Gilles Strappazzon ,Saint Barthélémy de Séchilienne ,"Bâtiments et édifices ,  Religions ",- 
1992,Mémoire n°03,Vizille et le tour de France,18 à 23,Jean Guitton ,Vizille ,Sport ,- 
1992,Mémoire n°03,Saint Georges de Commiers,24 à 26,Fernand Boeuf ,Saint Georges de Commiers ,"Généalogie ,  Héraldique ",- 
1992,Mémoire n°03,La marmite de Lesdiguières,27,Gérard Mingat ,Vizille ,Cuisine et recettes ,- 
1992,Mémoire n°03,III - Marcel Deprez : l'expérience de Jarrie,28 à 33,Alain Emery ,Jarrie ,"Activités industrielles ,  Personnages remarquables ",- 
1992,Mémoire n°03,Vizille il y a 100 ans,34 à 35,Robert Aillaud ,Vizille ,Vie locale ,- 
1992,Mémoire n°03,Journées mésageoises : exposition St-Pierre,36 à 37,Robert Aillaud ,Saint Pierre de Mésage ,Actualités ,- 
1992,Mémoire n°03,L'église de Vizille : un siècle de péripéties,38 à 42,Raoul Naz ,Vizille ,"Bâtiments et édifices ,  Religions ",- 
1992,Mémoire n°03,Le certificat d'études primaires,43 à 44,Paul Wohlschlegel ,Brié et Angonnes ,Enseignement ,- 
1992,Mémoire n°03,Bibliographie et sources,45 à 46,Pierre Melquiond ,Pays vizillois ,Documents remarquables ,- 
1993,Mémoire n°04,La vallée de la Romanche (moyenne et basse),04 à 09,Paul Wohlschlegel ,Vizille ,"Eau, rivières, canaux et fontaines ",- 
1993,Mémoire n°04,Les docteurs Bonnardon,10 à 11,Anne-Marie Causse ,Vizille ,"Personnages remarquables ,  Médecine ",- 
1993,Mémoire n°04,Les tribulations du Baptiste,12 à 13,Aline Pignat ,Séchilienne ,"Vie locale ,  Personnages remarquables ",- 
1993,Mémoire n°04,Contrat de mariage,14 à 15,Bernard Mingone ,Séchilienne ,"Généalogie ,  Héraldique ",- 
1993,Mémoire n°04,Villeneuve d'Uriage et son église,16 à 18,Marguerite Vianney-Liaud ,Villeneuve d'Uriage ,"Bâtiments et édifices ,  Religions ",- 
1993,Mémoire n°04,Cinquante ans déjà : la dissolution du 6e BCA,19 à 25,Paul Blanc ,Brié et Angonnes ,"Guerres ,  Grandes périodes ",- 
1993,Mémoire n°04,Le mariage de Céline : la mariée humoriste,26,René Simiand ,Jarrie ,"Histoires ,  Evènements ",- 
1993,Mémoire n°04,Le train de St Georges,27 à 30,Fernand Boeuf ,Saint Georges de Commiers ,Voies de communication ,- 
1993,Mémoire n°04,De Grenoble à Brié,31 à 33,Henri Rey ,Brié et Angonnes ,Voies de communication ,- 
1993,Mémoire n°04,La guerre de 14/18,34 à 38,"Gérard Mingat ,  Aline Pignat ",Pays vizillois ,"Guerres ,  Grandes périodes ",- 
1993,Mémoire n°04,Le quartier de la Gaffe,39 à 41,Jean Fagno ,Vizille ,Vie locale ,- 
1993,Mémoire n°04,Bibliographie et sources,42 à 46,Pierre Melquiond ,Pays vizillois ,Documents remarquables ,- 
1993,Mémoire n°04,Protection et restauration du Prieuré de Vizille,47,Robert Aillaud ,Vizille ,"Bâtiments et édifices ,  Religions ",- 
1993,Mémoire n°05,Organigramme de la direction du patrimoine,2,Robert Aillaud ,Isère ,,- 
1993,Mémoire n°05,Notre patrimoine : signification,3,Robert Aillaud ,Pays vizillois ,,- 
1993,Mémoire n°05,Le musée de Champ sur Drac,4,Robert Aillaud ,Champ sur Drac ,Actualités ,- 
1993,Mémoire n°05,Faits divers : Incendie des Traverses à St Pierre de Mésage,05 à 06,Germaine Billon ,Saint Pierre de Mésage ,Evènements ,- 
1993,Mémoire n°05,Villages Laffrey et St Jean de Vaulx,7,Robert Aillaud ,"Laffrey ,  Saint Jean de Vaux ",Vie locale ,- 
1993,Mémoire n°05,Route de Brié,8,Pierre Melquiond ,Brié et Angonnes ,Voies de communication ,- 
1993,Mémoire n°05,Les papeteries de Vizille : plus de 400 ans cette année,09 à 13,Robert Aillaud ,Vizille ,Activités industrielles ,- 
1993,Mémoire n°05,Prieuré de Vizille : quoi de neuf !,14,Robert Aillaud ,Vizille ,"Bâtiments et édifices ,  Religions ",- 
1993,Mémoire n°05,IV - Transport d'électricité - Marcel Deprez,15 à 25,Alain Emery ,Jarrie ,"Activités industrielles ,  Personnages remarquables ",- 
1993,Mémoire n°05,Une exploitation agricole au XVIIIe - St Pierre de Mésage,26,André Glaudas ,Saint Pierre de Mésage ,Vie locale ,- 
1993,Mémoire n°05,La formation des groupes de résistance à Vizille,27 à 40,Gérard Mingat ,Vizille ,"Guerres ,  Grandes périodes ",- 
1993,Mémoire n°05,Le Prieuré de St Michel de Connexe,41 à 43,Gilbert Gacon ,Champ sur Drac ,"Bâtiments et édifices ,  Religions ",- 
1993,Mémoire n°05,Adduction d'eau à St Jean et Notre Dame de Vaulx,44 à 45,René Villiot ,Saint Jean de Vaux ,"Eau, rivières, canaux et fontaines ",- 
1994,Mémoire n°06,La basse vallée de la Romanche,03 à 10,Paul Wohlschlegel ,Vizille ,"Eau, rivières, canaux et fontaines ",- 
1994,Mémoire n°06,I - La vie en 1793 à Champ sur Drac sous la révolution,11 à 14,Gilbert Gacon ,Champ sur Drac ,Grandes périodes ,- 
1994,Mémoire n°06,Métiers d'antan,15 à 16,Fernand Boeuf ,Saint Georges de Commiers ,Activités artisanales ,- 
1994,Mémoire n°06,50 ans déjà : la Rafle du 18 février 1944,17 à 37,"Robert Aillaud ,  Gérard Mingat ",Vizille ,"Guerres ,  Grandes périodes ",- 
1994,Mémoire n°06,I - le fort des 4 seigneurs,38 à 39,"Robert Bornecque ,  Marguerite Vianney-Liaud ",Herbeys ,Bâtiments et édifices ,- 
1994,Mémoire n°06,II - le fort des 4 seigneurs,40 à 42,"Robert Bornecque ,  Marguerite Vianney-Liaud ",Herbeys ,Bâtiments et édifices ,- 
1994,Mémoire n°06,Poème d'hier : si mes grands-parents revenaient,43,Aline Pignat ,Notre Dame de Mésage ,Vie locale ,- 
1994,Mémoire n°06,Vie quotidienne : la buille chez nos grans-mères,44,Germaine Billon ,Saint Pierre de Mésage ,Vie locale ,- 
1994,Mémoire n°06,Vins futés des grands-mères,45,Germaine Billon ,Notre Dame de Mésage ,Cuisine et recettes ,- 
1994,Mémoire n°06,Bibliographie et sources,46 à 48,Pierre Melquiond ,Pays vizillois ,Documents remarquables ,- 
1994,Mémoire n°06 bis,Libération du pays vizillois - 22 aout 1944 (n° spécial),01 à 142,"Robert Aillaud ,  Gérard Mingat ",Pays vizillois ,"Guerres ,  Grandes périodes ",- 
1994,Mémoire n°07,II - La vie en 1793 à Champ sur Drac sous la révolution,08 à 12,Gilbert Gacon ,Champ sur Drac ,Grandes périodes ,- 
1994,Mémoire n°07,Guigues II : neuvième prieur des Chartreux,13 à 17,Pierre Melquiond ,Brié et Angonnes ,"Bâtiments et édifices ,  Religions ,  Personnages remarquables ",- 
1994,Mémoire n°07,Un peu de toponymie,18,André Frances ,Vizille ,"Patois ,  Toponymie ",- 
1994,Mémoire n°07,Visite de l'évêque de Grenoble : 1672 à Séchilienne,19 à 21,Bernard Mingone ,Séchilienne ,"Bâtiments et édifices ,  Religions ",- 
1994,Mémoire n°07,Les vins futés de nos grands-mères,22,Germaine Billon ,Saint Pierre de Mésage ,Cuisine et recettes ,- 
1994,Mémoire n°07,Souvenirs autour de St Firmin,22,Aline Pignat ,Notre Dame de Mésage ,"Bâtiments et édifices ,  Religions ",- 
1994,Mémoire n°07,Adolphe Delleda : coureur cycliste,23 à 30,Jean Guitton ,Vizille ,Sport ,- 
1994,Mémoire n°07,Docteur Billerey à Brié,31 à 36,Pierre Melquiond ,Brié et Angonnes ,"Personnages remarquables ,  Médecine ",- 
1994,Mémoire n°07,22 aout 1944 : le film oublié,38 à 40,Robert Aillaud ,Vizille ,"Guerres ,  Grandes périodes ",- 
1994,Mémoire n°07,Le moulin neuf de Tavernolles,41 à 43,Richard Dupuy ,Brié et Angonnes ,"Vie locale ,  Activités agricoles ",- 
1994,Mémoire n°07,Métiers ambulants,44 à 45,Germaine Billon ,Pays vizillois ,Vie locale ,- 
1994,Mémoire n°07,Bibliographie et sources : le Prieuré de Vizille,46 à 47,Pierre Melquiond ,Vizille ,"Bâtiments et édifices ,  Religions ",- 
1994,Mémoire n°07,Il était une fois à Jarrie : les travaux des champs,05 à 07,Jeanette Cheveu D'or ,Jarrie ,Vie locale ,- 
1995,Mémoire n°08,Facheux XXe siècle : St Michel de Connexe,2,Robert Aillaud ,"Champ sur Drac ,  Séchilienne ",Actualités ,- 
1995,Mémoire n°08,La vallée de la Romanche,03 à 11,Paul Wohlschlegel ,Pays vizillois ,"Eau, rivières, canaux et fontaines ",- 
1995,Mémoire n°08,Un instrument insolite,12,Marguerite Vianney-Liaud ,Herbeys ,Vie locale ,- 
1995,Mémoire n°08,15 mars 1777 : testament de l'abbé de Beauregard,13 à 17,Pierre Coing Boyat ,Jarrie ,"Religions ,  Personnages remarquables ",- 
1995,Mémoire n°08,Tournerie de Vaulnaveys le haut,18,Josiane Morel ,Vaulnaveys ,Activités artisanales ,- 
1995,Mémoire n°08,La pierre cerise,19,"André Falco ,  Edith Falco ",Saint Pierre de Mésage ,,- 
1995,Mémoire n°08,"Une belle trouvaille, un bon réflexe",19,Robert Aillaud ,Jarrie ,Archéologie ,- 
1995,Mémoire n°08,St Barthélémy : église raconte moi ton histoire,20 à 26,Michel Vial ,Saint Barthélémy de Séchilienne ,"Bâtiments et édifices ,  Religions ",- 
1995,Mémoire n°08,Il était une fois Jarrie : les plaisirs de neige,27 à 29,Jeanette Cheveu D'or ,Jarrie ,"Vie locale ,  Sport ",- 
1995,Mémoire n°08,Le rideau de scène de la cité Navarre,32 à 33,Sylvie Vincent ,Champ sur Drac ,,- 
1995,Mémoire n°08,Un contrat d'apprentissage : 1895 à Brié,34 à 35,Pierre Melquiond ,Brié et Angonnes ,Documents remarquables ,- 
1995,Mémoire n°08,Traditions et coutumes dans la région,36 à 37,Germaine Billon ,Saint Pierre de Mésage ,Vie locale ,- 
1995,Mémoire n°08,Construction d'un pont Tarron par le génie,38,Robert Aillaud ,Vizille ,Voies de communication ,- 
1995,Mémoire n°08,"Renards d'aujourd'hui, loups d'autrefois",39,Aline Pignat ,Séchilienne ,"Vie locale ,  Histoires ",- 
1995,Mémoire n°08,La croix de Chamrousse,40 à 43,Raymond Joffre ,Chamrousse ,"Tourisme ,  Lieux remarquables ",- 
1995,Mémoire n°08,Bibliographie et sources,44 à 48,Pierre Melquiond ,Brié et Angonnes ,Documents remarquables ,- 
1995,Mémoire n°09,Au revoir père Meyer,4,Jeanette Cheveu D'or ,Champ sur Drac ,Actualités ,- 
1995,Mémoire n°09,Attention : un malentendu peut en cacher un autre,5,Louis Bourdat ,Vizille ,Vie locale ,- 
1995,Mémoire n°09,Une soirée inoubliable,06 à 07,Aline Pignat ,Notre Dame de Mésage ,Vie locale ,- 
1995,Mémoire n°09,La St Barnard (et chanson),08 à 09,Aline Pignat ,Notre Dame de Mésage ,Vie locale ,- 
1995,Mémoire n°09,Vie religieuse à Vaulnaveys,10 à 14,Marguerite Vianney-Liaud ,Vaulnaveys le haut ,"Bâtiments et édifices ,  Religions ",- 
1995,Mémoire n°09,I - Les aventures de Charvet - Citoyen vizillois,15 à 32,Gérard Mingat ,Vizille ,"Grandes périodes ,  Personnages remarquables ",- 
1995,Mémoire n°09,Conventions rapport,33 à 36,Adrienne Celso ,Bresson ,"Vie locale ,  Documents remarquables ",- 
1995,Mémoire n°09,Cure et littérature à Uriage,37 à 39,Pierre Bourdat ,Uriage ,Vie locale ,- 
1995,Mémoire n°09,La bataille de St Barthélémy de Séchilienne,40 à 41,Bernard Mingone ,Saint Barthélémy de Séchilienne ,"Religions ,  Guerres ",- 
1995,Mémoire n°09,Les sapeurs pompiers St Georgeois,42 à 43,Fernand Boeuf ,Saint Georges de Commiers ,Vie locale ,- 
1995,Mémoire n°09,Chantier archéologique de Varces,44 à 47,Eric Plassot ,Varces ,Archéologie ,- 
1996,Mémoire n°10,Naissance d'un blason,04 à 06,Gilbert Vanel ,Vaulnaveys le bas ,"Généalogie ,  Héraldique ",- 
1996,Mémoire n°10,II - Les aventures de Charvet,07 à 15,Gérard Mingat ,Vizille ,"Grandes périodes ,  Personnages remarquables ",- 
1996,Mémoire n°10,Paysages du canton de Vizille,16 à 17,Paul Wohlschlegel ,Pays vizillois ,Vie locale ,- 
1996,Mémoire n°10,Vizille 1711 : un contrat d'apprentissage,16 à 17,Pierre Melquiond ,Vizille ,Documents remarquables ,- 
1996,Mémoire n°10,Chateau d'Herbeys,18 à 25,Marguerite Vianney-Liaud ,Herbeys ,Bâtiments et édifices ,- 
1996,Mémoire n°10,Enfant à Vizille dans les années 30,26 à 28,Jean Perrin ,Vizille ,Vie locale ,- 
1996,Mémoire n°10,Religion réformée - Brié en 1727,29,Pierre Melquiond ,Brié et Angonnes ,"Bâtiments et édifices ,  Religions ",- 
1996,Mémoire n°10,St Pierre de Mésage - son église,30 à 36,Michel Vial ,Saint Pierre de Mésage ,"Bâtiments et édifices ,  Religions ",- 
1996,Mémoire n°10,Que ferons-nous de nos églises ?,37 à 39,Claire Marconnet ,Pays vizillois ,"Bâtiments et édifices ,  Religions ",- 
1996,Mémoire n°10,Familles nobles du M.A. à Brié,40 à 43,Pierre Melquiond ,Brié et Angonnes ,"Généalogie ,  Héraldique ",- 
1996,Mémoire n°10,Un intérieur paysan en 1710 et 1880,44 à 45,Pierre Melquiond ,"Brié et Angonnes ,  Saint Pierre de Mésage ",Documents remarquables ,- 
1996,Mémoire n°10,"Le ""port"" de Gavet",45,Yves Marcel ,Livet et Gavet ,"Voies de communication ,  Eau, rivières, canaux et fontaines ",- 
1996,Mémoire n°10,Comment fut fixé le prix du pain à Vizille en 1615,46 à 47,Pierre Coing Boyat ,Vizille ,"Vie locale ,  Documents remarquables ",- 
1996,Mémoire n°10,Le village nègre,48,Gabriel Perrin ,Vizille ,Vie locale ,- 
1996,Mémoire n°11,Le raffour de la montagne du Péage,2,"André Falco ,  Edith Falco ",Vizille ,"Mines et minéralogie ,  Activités industrielles ",- 
1996,Mémoire n°11,Balade automnale d'un enfant vers 1930,3,Aline Pignat ,Notre Dame de Mésage ,"Vie locale ,  Patois ,  Toponymie ",- 
1996,Mémoire n°11,Lo Toëne de Monchaffrey,04 à 06,Raymond Joffre ,Vaulnaveys le bas ,"Patois ,  Toponymie ",- 
1996,Mémoire n°11,III - Les aventures de Charvet,07 à 14,Gérard Mingat ,Vizille ,"Grandes périodes ,  Personnages remarquables ",- 
1996,Mémoire n°11,L'histoire du Mont-Larron,15,Paul Courteaud ,Vaulnaveys le bas ,"Vie locale ,  Patois ,  Toponymie ",- 
1996,Mémoire n°11,Missionnaire de la Salette : le révérend Père Archier,16 à 17,Germaine Billon ,Saint Pierre de Mésage ,"Religions ,  Personnages remarquables ",- 
1996,Mémoire n°11,Archéologie : la plaine du Lavanchon,18 à 23,Eric Plassot ,Saint Paul de Varces ,Archéologie ,- 
1996,Mémoire n°11,Le musée historique de la vallée de la Romanche,24 à 25,Caroline Curnier ,Livet et Gavet ,Actualités ,- 
1996,Mémoire n°11,En 1782 : les vaches de Brié étaient-elles folles ?,26 à 28,Pierre Melquiond ,Brié et Angonnes ,"Vie locale ,  Histoires ",- 
1996,Mémoire n°11,Quand Jean-Jacques Rousseau cherchait une maison,29 à 33,Pierre Melquiond ,Brié et Angonnes ,Personnages remarquables ,- 
1996,Mémoire n°11,Souvenir des usines Keller,34 à 39,"André Clergeot ,  Yvette Emieux ",Livet et Gavet ,Activités industrielles ,- 
1996,Mémoire n°11,Il était une fois Jarrie : les commerces,40 à 41,Jeanette Cheveu D'or ,Jarrie ,Vie locale ,- 
1996,Mémoire n°11,Retour à l'école des cadres d'Uriage,42 à 45,Pierre Bourdat ,Uriage ,Enseignement ,- 
1996,Mémoire n°11,Soirée Rigodon à Pellafol 10 aout 1996,46,Germaine Billon ,Pellafol ,Actualités ,- 
1996,Mémoire n°11,Pique-nique avec les amis de la vallée de la Gresse,47,Germaine Billon ,Monestier de Clermont ,Actualités ,- 
1996,Mémoire n°11,Les deux mulets (poème),48,"Gérard Mingat ,  Michel Vial ",Vaulnaveys le bas ,"Patois ,  Toponymie ,  Histoires ",- 
1997,Mémoire n°12,I - Les registres paroissiaux de Brié,04 à 10,Pierre Melquiond ,Brié et Angonnes ,"Bâtiments et édifices ,  Religions ,  Documents remarquables ",- 
1997,Mémoire n°12,IV - Les aventures de Charvet,11 à 17,Gérard Mingat ,Vizille ,"Grandes périodes ,  Personnages remarquables ",- 
1997,Mémoire n°12,Le plâtre d'Herbeys,18 à 19,Marguerite Vianney-Liaud ,Herbeys ,"Patois ,  Toponymie ",- 
1997,Mémoire n°12,Un aspect de la vie des campagnes - St Barthélémy de Séchilienne,20 à 25,Bernard Mingone ,Saint Barthélémy de Séchilienne ,Vie locale ,- 
1997,Mémoire n°12,18 février 1944,26 à 28,Jean Perrin ,Vizille ,"Guerres ,  Grandes périodes ",- 
1997,Mémoire n°12,Vizille fait divers : 18 février 1944,29 à 32,Louis Girard-Reydet ,Vizille ,"Guerres ,  Grandes périodes ",- 
1997,Mémoire n°12,Les scouts de Vizille,33 à 34,Jean Fagno ,Vizille ,Vie locale ,- 
1997,Mémoire n°12,Moulin syndical de Vaulnaveys le haut,35 à 39,Anne Cayol Gerin ,Vaulnaveys le haut ,Activités agricoles ,- 
1997,Mémoire n°12,La chartreuse de Prémol,40 à 41,Marguerite Vianney-Liaud ,Vaulnaveys le haut ,"Bâtiments et édifices ,  Religions ",- 
1997,Mémoire n°12,Dramatiques évènements aux Angonnes,42 à 43,Pierre Melquiond ,Brié et Angonnes ,Evènements ,- 
1997,Mémoire n°12,Toponymie et origine des noms des communes,44 à 45,Pierre Melquiond ,Pays vizillois ,"Patois ,  Toponymie ",- 
1997,Mémoire n°12,Bibliographie et sources,46 à 47,Pierre Melquiond ,Pays vizillois ,Documents remarquables ,- 
1997,Mémoire n°13,"""L'aigle a deux têtes"" vu par Raymond Voinquel",03 à 05,Alain Chevalier ,Vizille ,"Vie locale ,  Bâtiments et édifices ",- 
1997,Mémoire n°13,II - Les registres paroissiaux de Brié,06 à 17,Pierre Melquiond ,Brié et Angonnes ,"Vie locale ,  Documents remarquables ",- 
1997,Mémoire n°13,Défense et illustration du patrimoine,18,Pierre Melquiond ,Brié et Angonnes ,",  Bâtiments et édifices ,  Religions ",- 
1997,Mémoire n°13,Il revient : retour de Napoléon,19 à 23,Pierre Melquiond ,Brié et Angonnes ,Evènements ,- 
1997,Mémoire n°13,Un projet de monument commémoratif du passage de Napoléon,23 à 25,Roger Morard ,Laffrey ,Evènements ,- 
1997,Mémoire n°13,Les conscrits (St Pierre et Notre Dame),26 à 27,"Germaine Billon ,  Aline Pignat ","Notre Dame de Mésage ,  Saint Pierre de Mésage ",Vie locale ,- 
1997,Mémoire n°13,"Le battage, du fléau à la batteuse",28 à 30,Germaine Billon ,Saint Pierre de Mésage ,Vie locale ,- 
1997,Mémoire n°13,"Une coutume religieuse : ""le pain bénit""",31 à 32,Gilbert Gacon ,Champ sur Drac ,Religions ,- 
1997,Mémoire n°13,V - Les aventures de Charvet : 1814-1816,33 à 47,Gérard Mingat ,Vizille ,"Grandes périodes ,  Personnages remarquables ",- 
1997,Mémoire n°13,Journées du patrimoine 21 septembre 1997,48,Germaine Billon ,Grenoble ,Actualités ,- 
1998,Mémoire n°14,La croix du Mottet,04 à 07,Michel Vial ,Séchilienne ,"Bâtiments et édifices ,  Religions ",- 
1998,Mémoire n°14,A propos de cloche,8,Suzanne Ehrhard ,Brié et Angonnes ,"Patois ,  Toponymie ",- 
1998,Mémoire n°14,Un curé de choc à St Martin de la Cluze,09 à 11,Pierre Coing Boyat ,Saint Martin de la Cluze ,Religions ,- 
1998,Mémoire n°14,III - Les registres paroissiaux de Brié (fin),12 à 18,Pierre Melquiond ,Brié et Angonnes ,"Vie locale ,  Documents remarquables ",- 
1998,Mémoire n°14,Quand les vizillois chantaient,19,Robert Aillaud ,Vizille ,"Vie locale ,  Documents remarquables ",- 
1998,Mémoire n°14,VI - Les aventures de Charvet,20 à 28,Gérard Mingat ,Vizille ,"Grandes périodes ,  Personnages remarquables ",- 
1998,Mémoire n°14,Les débuts du tourisme dans notre région,29,Marie-Thérèse Emery ,Pays vizillois ,"Vie locale ,  Documents remarquables ",- 
1998,Mémoire n°14,Un mariage compromis à Jarrie,30 à 33,Pierre Coing Boyat ,Jarrie ,Vie locale ,- 
1998,Mémoire n°14,Avis de recherche,34,Robert Aillaud ,Vizille ,Enseignement ,- 
1998,Mémoire n°14,Un trépas très suivi,34,Bernard Mingone ,Vaulnaveys le haut ,Vie locale ,- 
1998,Mémoire n°14,Chamrousse : station olympique de Duhamel à Killy,35 à 38,Bernadette Belmont ,Chamrousse ,"Tourisme ,  Lieux remarquables ,  Sport ",- 
1998,Mémoire n°14,Le monologue de Janin,39,Jean Millet ,Pays vizillois ,"Patois ,  Toponymie ",- 
1998,Mémoire n°14,Histoire d'un site industriel,40 à 41,Alain Emery ,Jarrie ,Activités industrielles ,- 
1998,Mémoire n°14,Vogues avec violence,42 à 43,Daniel Templier ,Cholonge ,Vie locale ,- 
1998,Mémoire n°14,Le dore,44,Georges Mancat ,La Morte ,Personnages remarquables ,- 
1998,Mémoire n°14,Traditions et coutumes de Vizille,45 à 46,Claude Muller ,Vizille ,Vie locale ,- 
1998,Mémoire n°14,Actualités : les 20 ans de Bonrepos,47,Robert Aillaud ,Jarrie ,Actualités ,- 
1998,Mémoire n°14,Abbaye de Boscodon : sortie du 6 juin 1998,47 à 48,Michel Vial ,Crots ,Actualités ,- 
1998,Mémoire n°14 bis,Le tour de France en pays Vizillois (n° spécial),01 à 128,"Gérard Mingat ,  Jean Guitton ",Pays vizillois ,Sport ,- 
1998,Mémoire n°15,Le chatelain d'Herbeys,3,Marguerite Vianney-Liaud ,Herbeys ,Vie locale ,- 
1998,Mémoire n°15,Les cloutiers de St Barthélémy,04 à 05,Bernard Mingone ,Saint Barthélémy de Séchilienne ,"Mines et minéralogie ,  Activités artisanales ",- 
1998,Mémoire n°15,Le président Gaston Doumergue à Prémol,06 à 08,Lucienne Cret ,Chamrousse ,Personnages remarquables ,- 
1998,Mémoire n°15,Le trolleybus du Péage de Vizille,09 à 17,Jean Perrin ,Vizille ,Voies de communication ,- 
